case,load,n_train,seed,snr_db,method,accuracy,macro_precision,macro_recall,macro_f1
UO,held-out,25,20260815,,TF-SVM early fusion,0.9893333333333333,0.9896965146860847,0.9893333333333334,0.9893578921722338
UO,held-out,25,20260815,,TF-SVM late fusion,0.9969523809523809,0.9969644691749602,0.9969523809523809,0.9969513393417745
UO,held-out,30,20260815,,TF-SVM early fusion,0.9984555984555985,0.9984597500726533,0.9984555984555985,0.9984555928149381
UO,held-out,30,20260815,,TF-SVM late fusion,0.9972972972972973,0.997307670699274,0.9972972972972973,0.9972972775377575
KAIST,2Nm,5,20260806,0.0,TF-SVM early fusion,0.5705,0.6061382241002657,0.5705,0.5781199747112061
KAIST,2Nm,5,20260806,0.0,TF-SVM late fusion,0.81,0.8259395521014061,0.8099999999999999,0.806887530163141
KAIST,4Nm,5,20260806,0.0,TF-SVM early fusion,0.516,0.5735585410612243,0.516,0.5337869950847953
KAIST,4Nm,5,20260806,0.0,TF-SVM late fusion,0.74,0.779027265597048,0.74,0.740702071144572
KAIST,2Nm,10,20260806,0.0,TF-SVM early fusion,0.858,0.8653883993013375,0.858,0.858651290585945
KAIST,2Nm,10,20260806,0.0,TF-SVM late fusion,0.9535,0.9564578679706127,0.9535,0.9535729176714746
KAIST,4Nm,10,20260806,0.0,TF-SVM early fusion,0.7735,0.8136864984298129,0.7735000000000001,0.7823077547530944
KAIST,4Nm,10,20260806,0.0,TF-SVM late fusion,0.917,0.925310543930777,0.9170000000000001,0.9181654268635032
KAIST,2Nm,15,20260806,0.0,TF-SVM early fusion,0.881,0.886759734361308,0.881,0.8800224383587661
KAIST,2Nm,15,20260806,0.0,TF-SVM late fusion,0.9625,0.9647430559766376,0.9625,0.962406869129126
KAIST,4Nm,15,20260806,0.0,TF-SVM early fusion,0.7875,0.8278437243228023,0.7875,0.795731918533081
KAIST,4Nm,15,20260806,0.0,TF-SVM late fusion,0.9535,0.9570159134675263,0.9535,0.9539718440738646
KAIST,2Nm,20,20260806,0.0,TF-SVM early fusion,0.911,0.9098971017926243,0.9109999999999999,0.9102054868159091
KAIST,2Nm,20,20260806,0.0,TF-SVM late fusion,0.966,0.9690804317709343,0.966,0.9657388197537768
KAIST,4Nm,20,20260806,0.0,TF-SVM early fusion,0.864,0.8800738695699282,0.8640000000000001,0.8685610003796583
KAIST,4Nm,20,20260806,0.0,TF-SVM late fusion,0.934,0.9462545313384887,0.9339999999999999,0.9353328188905292
KAIST,2Nm,25,20260806,0.0,TF-SVM early fusion,0.9335,0.9356321130707815,0.9335000000000001,0.9339069551326397
KAIST,2Nm,25,20260806,0.0,TF-SVM late fusion,0.9785,0.9795647451190816,0.9785,0.9785270068239651
KAIST,4Nm,25,20260806,0.0,TF-SVM early fusion,0.8805,0.8989810995968828,0.8805,0.883188570251054
KAIST,4Nm,25,20260806,0.0,TF-SVM late fusion,0.9345,0.9475417644001315,0.9344999999999999,0.9358911132610943
KAIST,2Nm,30,20260806,0.0,TF-SVM early fusion,0.9225,0.9307860218259449,0.9225,0.9218672693568143
KAIST,2Nm,30,20260806,0.0,TF-SVM late fusion,0.9835,0.9841229515748887,0.9835,0.9835037319659644
KAIST,4Nm,30,20260806,0.0,TF-SVM early fusion,0.895,0.915944478827736,0.8949999999999999,0.8978817464527218
KAIST,4Nm,30,20260806,0.0,TF-SVM late fusion,0.9605,0.966254399399119,0.9605,0.9611096669769619
KAIST-noise,2Nm,30,20260806,0.0,TF-SVM early fusion,0.9225,0.9307860218259449,0.9225,0.9218672693568143
KAIST-noise,2Nm,30,20260806,0.0,TF-SVM late fusion,0.9835,0.9841229515748887,0.9835,0.9835037319659644
KAIST-noise,2Nm,30,20260806,-4.0,TF-SVM early fusion,0.2,0.04,0.2,0.06666666666666668
KAIST-noise,2Nm,30,20260806,-4.0,TF-SVM late fusion,0.2,0.04,0.2,0.06666666666666668
KAIST-noise,2Nm,30,20260806,-8.0,TF-SVM early fusion,0.2,0.04,0.2,0.06666666666666668
KAIST-noise,2Nm,30,20260806,-8.0,TF-SVM late fusion,0.2,0.04,0.2,0.06666666666666668
